Product Title,Product Image,SKU,Specification,Shipping From,Inventory,Available Inventory,CJ Inventory (Total),Factory Inventory (Total),My Inventory (Total),Factory Inventory,Product Base Price ($),Shipping Fee ($),Total Cost ($),Added Time,Price Updated,Price Change,Price Update Time,Pickup Supported,Product Status
,,,,,,,,,,US Warehouse-verified,,,,,,,,,
Wooden Cat Exercise Wheel 52' Large Cat Treadmill Wheel For Indoor Cats,,CJTE26196280001,Natural,US,341.0,341.0,0.0,341.0,0.0,341,110.79,0.0,110.79,"4/12/2026, 2:10:55 PM",Yes,-2.03%,"4/2/2026, 5:49:09 AM",Yes,On Sale
"Wooden Chicken Activity Play Set With Perch, Swing, Ladder, Platforms, Feeder Storage, Coffee",,CJTE253572601AZ,Coffee,US,230.0,230.0,0.0,230.0,0.0,230,182.23,0.0,182.23,"4/12/2026, 2:10:58 PM",No,--,--,Yes,On Sale
Cat Exercise Wheel Large Cat Treadmill Wheel For Indoor Cats 29.5 Inch,,CJTE26170170001,Natural,US,153.0,153.0,0.0,153.0,0.0,153,61.51,0.0,61.51,"4/12/2026, 2:10:56 PM",Yes,+3.99%,"4/2/2026, 5:53:50 AM",Yes,On Sale
"Inflatable Dog Boat Ramp Up To 286 Lbs, For Boat, Dock, Lake, Non-Slip, Safe & Easy",,CJTE253995301AZ,Grey,US,200.0,200.0,0.0,200.0,0.0,200,220.99,0.0,220.99,"4/12/2026, 2:10:57 PM",No,--,--,Yes,On Sale
"Chicken Roost For Coop, Jungle Gym Roosting Bar",,CJTE282333001AZ,Natural Wood Silver,US,100.0,100.0,0.0,100.0,0.0,100,52.7,0.0,52.7,"4/12/2026, 2:10:57 PM",No,--,--,No,On Sale
Dinosaur Exquisite Texture Craft Creative Small Decorative Ornaments Realistic Animal Decoration Unique Jewelry,,CJTE253590401AZ,1PC,US,190.0,190.0,0.0,190.0,0.0,190,7.82,0.0,7.82,"4/12/2026, 2:10:55 PM",No,--,--,Yes,On Sale
"Medium-sized Two-layer Sisal Cat Scratching Post, Indoor Cat Interactive Toy, Wooden Ball Lane Hanging Ball For Kittens.",,CJTE282526701AZ,As shown in the figure,US,355.0,355.0,0.0,355.0,0.0,355,24.02,0.0,24.02,"4/12/2026, 2:10:57 PM",No,--,--,Yes,On Sale
Cat Puzzle Toy With Ball And Spring-loaded Wand Felt Indoor Cat Toy Box Suction Cup Base Treat Puzzle Helps Cats Play Independently And Improves Their Intelligence.,,CJTE261988601AZ,Yellow,US,90.0,90.0,0.0,90.0,0.0,90,12.01,0.0,12.01,"4/12/2026, 2:10:58 PM",No,--,--,Yes,On Sale
Cat Puzzle Toy With Ball And Spring-loaded Wand Felt Indoor Cat Toy Box Suction Cup Base Treat Puzzle Helps Cats Play Independently And Improves Their Intelligence.,,CJTE261988602BY,Green,US,90.0,90.0,0.0,90.0,0.0,90,12.01,0.0,12.01,"4/12/2026, 2:10:58 PM",No,--,--,Yes,On Sale
4-piece Dog Agility Training Equipment With Height-adjustable Jumping Poles,,CJTE219264201AZ,White,US,94.0,94.0,0.0,94.0,0.0,94,76.14,0.0,76.14,"4/12/2026, 2:10:55 PM",No,--,--,Yes,On Sale
Snake-shaped High-fidelity Fun Ornaments Creative Animal-shaped Living Room And Study Decorations,,CJTE253600001AZ,1PC,US,406.0,406.0,0.0,406.0,0.0,406,8.44,0.0,8.44,"4/12/2026, 2:10:58 PM",No,--,--,Yes,On Sale
"Cat Toys - Interactive Toy For Cat , Kitten Toys, Lightweight Resin Duck Shape Fun Stick For Kitten Play Indoor Outdoor ,Removable And Washable Duck Cat Toy",,CJTE263685401AZ,White,US,71.0,71.0,0.0,71.0,0.0,71,10.4,0.0,10.4,"4/12/2026, 2:10:56 PM",No,--,--,Yes,On Sale
"Cat Toys - Interactive Toy For Cat , Kitten Toys, Lightweight Resin Duck Shape Fun Stick For Kitten Play Indoor Outdoor ,Removable And Washable Duck Cat Toy",,CJTE263685402BY,Yellow,US,31.0,31.0,0.0,31.0,0.0,31,10.4,0.0,10.4,"4/12/2026, 2:10:56 PM",No,--,--,Yes,On Sale
"Cat Toys - Interactive Toy For Cat , Kitten Toys, Lightweight Resin Duck Shape Fun Stick For Kitten Play Indoor Outdoor ,Removable And Washable Duck Cat Toy",,CJTE263685403CX,Blue,US,45.0,45.0,0.0,45.0,0.0,45,10.4,0.0,10.4,"4/12/2026, 2:10:56 PM",No,--,--,Yes,On Sale
"Cat Toys - Interactive Toy For Cat , Kitten Toys, Lightweight Resin Duck Shape Fun Stick For Kitten Play Indoor Outdoor ,Removable And Washable Duck Cat Toy",,CJTE263685404DW,Yellow duck,US,0.0,0.0,0.0,0.0,0.0,0,10.4,0.0,10.4,"4/12/2026, 2:10:56 PM",No,--,--,Yes,On Sale
"Cat Toys - Interactive Toy For Cat , Kitten Toys, Lightweight Resin Duck Shape Fun Stick For Kitten Play Indoor Outdoor ,Removable And Washable Duck Cat Toy",,CJTE263685405EV,White duck,US,22.0,22.0,0.0,22.0,0.0,22,10.4,0.0,10.4,"4/12/2026, 2:10:56 PM",No,--,--,Yes,On Sale
Cat Exercise Wheel Large Cat Treadmill Wheel For Indoor Cats 35.8 Inch,,CJTE26170180001,Natural,US,77.0,77.0,0.0,77.0,0.0,77,71.19,0.0,71.19,"4/12/2026, 2:10:58 PM",Yes,+1.04%,"4/2/2026, 5:53:50 AM",Yes,On Sale
Inflatable Dog Boat Ramp,,CJTE282191801AZ,Black Grey,US,63.0,63.0,0.0,63.0,0.0,63,137.06,0.0,137.06,"4/12/2026, 2:10:57 PM",No,--,--,No,On Sale
Dog Agility Training Equipment 7 PCS Set W/ Hurdles 2 Tunnels Jump Ring,,CJTE26175140001,Blue,US,136.0,136.0,0.0,136.0,0.0,136,74.71,0.0,74.71,"4/12/2026, 2:10:56 PM",Yes,+4.74%,"4/2/2026, 5:53:23 AM",Yes,On Sale
"Cat Entertainment Set- Interactive Rotating Disk, Feather Teasers, Tumbler, Windmill Toy - Keeps Cats Active & Engaged",,CJTE239921201AZ,Blue,US,41.0,41.0,0.0,41.0,0.0,41,11.44,0.0,11.44,"4/12/2026, 2:10:55 PM",No,--,--,No,On Sale
"Cat Entertainment Set- Interactive Rotating Disk, Feather Teasers, Tumbler, Windmill Toy - Keeps Cats Active & Engaged",,CJTE239921202BY,Yellow,US,70.0,70.0,0.0,70.0,0.0,70,11.44,0.0,11.44,"4/12/2026, 2:10:55 PM",No,--,--,No,On Sale
3000 FT Dog Training US Collar Rechargeable Remote Shock PET Waterproof Trainer,,CJTE245713701AZ,For1Dog,US,230.0,230.0,0.0,230.0,0.0,230,17.56,0.0,17.56,"4/12/2026, 2:10:57 PM",No,--,--,No,On Sale
3000 FT Dog Training US Collar Rechargeable Remote Shock PET Waterproof Trainer,,CJTE245713702BY,For2Dogs,US,230.0,230.0,0.0,230.0,0.0,230,30.63,0.0,30.63,"4/12/2026, 2:10:57 PM",No,--,--,No,On Sale
3000 FT Dog Training US Collar Rechargeable Remote Shock PET Waterproof Trainer,,CJTE245713703CX,For3Dogs,US,230.0,230.0,0.0,230.0,0.0,230,38.24,0.0,38.24,"4/12/2026, 2:10:57 PM",No,--,--,No,On Sale
"Pet Mint Fish Toy - Three Colors Are Randomly Issued, Shovel Officials Must Enter, Pet Mint Fish Toys, Suitable For Cats Of All Ages",,CJTE238789001AZ,A random color,US,87.0,87.0,0.0,87.0,0.0,87,8.74,0.0,8.74,"4/12/2026, 2:10:55 PM",No,--,--,Yes,On Sale
3 Tier Wooden Hamster Cage,,CJTE282240501AZ,Natural Wood,US,94.0,94.0,0.0,94.0,0.0,94,134.58,0.0,134.58,"4/12/2026, 2:10:57 PM",No,--,--,No,On Sale
Toothless Dragon Cute Cool Design High Texture Exquisite Details Charming Appearance Dinosaur Fans Collectible Home Decorations,,CJTE253592301AZ,Black,US,159.0,159.0,0.0,159.0,0.0,159,8.83,0.0,8.83,"4/12/2026, 2:10:58 PM",No,--,--,Yes,On Sale
Cat Wheel 6-in-1 Cat Fitness Wheel,,CJTE219241401AZ,Natural wood,US,40.0,40.0,0.0,40.0,0.0,40,145.53,0.0,145.53,"4/12/2026, 2:10:55 PM",No,--,--,Yes,On Sale
"Wooden Dog Agility Seesaw For Training And Exercise, Weather Resistant, 83 L X 16 W X 14 H Inch",,CJTE253581201AZ,Gray,US,230.0,230.0,0.0,230.0,0.0,230,103.86,0.0,103.86,"4/12/2026, 2:10:57 PM",No,--,--,Yes,On Sale
"Wooden Dog Agility Seesaw For Training And Exercise, Weather Resistant, 83 L X 16 W X 14 H Inch",,CJTE253581202BY,White,US,230.0,230.0,0.0,230.0,0.0,230,103.86,0.0,103.86,"4/12/2026, 2:10:57 PM",No,--,--,Yes,On Sale
"Wooden Dog Agility Seesaw For Training And Exercise, Weather Resistant, 83 L X 16 W X 14 H Inch",,CJTE253581203CX,Orange,US,230.0,230.0,0.0,230.0,0.0,230,103.86,0.0,103.86,"4/12/2026, 2:10:57 PM",No,--,--,Yes,On Sale
Durable Sisal Rope With Hanging Ball Toy Cat Scratching Post Indoor Space Saving Stable Base Promote Cat Claw Health And Fun Exercise,,CJTE243998002BY,Gray,US,100.0,100.0,0.0,100.0,0.0,100,24.02,0.0,24.02,"4/12/2026, 2:10:56 PM",No,--,--,Yes,On Sale
Cat Exercise Wheel 43.3' Large Cat Treadmill Wheel For Indoor Cats Black,,CJTE26170150001,Black,US,152.0,152.0,0.0,152.0,0.0,152,78.3,0.0,78.3,"4/12/2026, 2:10:56 PM",Yes,+1.14%,"4/2/2026, 5:10:42 AM",Yes,On Sale
Diamond Pattern Dragon Realistic Brick Texture Cute And Easy To Store Home Decoration Collection Ornaments Suitable For Dinosaur Lovers,,CJTE253601101AZ,1PC,US,113.0,113.0,0.0,113.0,0.0,113,8.46,0.0,8.46,"4/12/2026, 2:10:58 PM",No,--,--,Yes,On Sale
"Interactive Dog Treat Ball, A Chewing Toy Suitable For Small And Medium-sized Dogs.",,CJTE261992301AZ,S,US,89.0,89.0,0.0,89.0,0.0,89,10.92,0.0,10.92,"4/12/2026, 2:10:56 PM",No,--,--,Yes,On Sale
"Interactive Dog Treat Ball, A Chewing Toy Suitable For Small And Medium-sized Dogs.",,CJTE261992302BY,L,US,89.0,89.0,0.0,89.0,0.0,89,12.01,0.0,12.01,"4/12/2026, 2:10:56 PM",No,--,--,Yes,On Sale
"Bamboo Dragon Creative Decoration, Exquisite Details And Outstanding Appearance, Worth Having",,CJTE253602601AZ,1PC,US,117.0,117.0,0.0,117.0,0.0,117,9.53,0.0,9.53,"4/12/2026, 2:10:55 PM",No,--,--,Yes,On Sale
4-piece Dog Agility Training Equipment With Height-adjustable Jumping Poles,,CJTE219096701AZ,Blue,US,40.0,40.0,0.0,40.0,0.0,40,78.95,0.0,78.95,"4/12/2026, 2:10:57 PM",No,--,--,Yes,On Sale
"Velociraptor Exquisite Details, Domineering Shape, High-quality And Charming Appearance, Dinosaur Lovers Collect Home Decorations",,CJTE253598901AZ,1PC,US,53.0,53.0,0.0,53.0,0.0,53,8.4,0.0,8.4,"4/12/2026, 2:10:58 PM",No,--,--,Yes,On Sale
"Nine-tailed Fox, Smart Fox Shape, Fantasy Texture, Exquisite Details, Fairy-style Appearance, Exquisite Craftsmanship, Thoughtful Gift Decoration, Adding Fairy Charm",,CJTE253617601AZ,1pc,US,33.0,33.0,0.0,33.0,0.0,33,9.36,0.0,9.36,"4/12/2026, 2:10:55 PM",No,--,--,Yes,On Sale
"Swing Set With Chicken Perch And Hen Ladder, Chicken Coop Toys",,CJTE219056601AZ,Grey,US,83.0,83.0,0.0,83.0,0.0,83,106.15,0.0,106.15,"4/12/2026, 2:10:57 PM",No,--,--,Yes,On Sale
"Interactive Windmill Cat Toy With LED Light Ball, Suction Cup, And Catnip Indoor Cat Exercise And Entertainment Set.",,CJTE261989901AZ,Yellow,US,110.0,110.0,0.0,110.0,0.0,110,8.74,0.0,8.74,"4/12/2026, 2:10:57 PM",No,--,--,Yes,On Sale
"Interactive Windmill Cat Toy With LED Light Ball, Suction Cup, And Catnip Indoor Cat Exercise And Entertainment Set.",,CJTE261989902BY,Blue,US,98.0,98.0,0.0,98.0,0.0,98,8.74,0.0,8.74,"4/12/2026, 2:10:57 PM",No,--,--,Yes,On Sale
